# category<TAB>what someone actually asks about, in their words (he + en)
# Fixes the router risk in plans/02: upstream categories are named by technical
# domain, not by who asks. These lines route on intent instead of on the name.
tax-and-finance	מס הכנסה, מע"מ, חשבונית, עוסק פטור/מורשה, פנסיה, קרן השתלמות, ביטוח מנהלים, מכס, מטבע חוץ, תקציב משפחתי, השקעות, פיצויים
government-services	ביטוח לאומי, מילואים, טפסים ממשלתיים, ארנונה, תחבורה ציבורית, מכרזים, בחירות, נזקי מלחמה, רשות מקומית, סטטיסטיקה רשמית, מרשם תרופות
legal-tech	זכויות עובדים, חוזים, צוואה וירושה, קנסות ודוחות, שכירות, תביעות קטנות, שיפוצים, הסכם פרילנסר
accounting	הנהלת חשבונות, דוחות שנתיים, ספרי חשבונות, שכר, רואה חשבון, חשבונית ירוקה
health-services	קופת חולים, תרופות, בית מרקחת, זכויות רפואיות, טיפול בקשישים, בריאות הנפש, אונקולוגיה, צליאק, מטפל סיעודי
education	לימודים, בגרות, מלגות, גן ילדים, אוניברסיטה, הכנה לראיון
travel	טיולים בארץ ובחו"ל, טיסות, ויזה, חופשה
food-and-dining	מסעדות, כשרות, הזמנת מקום, אוכל, משלוחים
localization	עברית ו-RTL, תרגום, נגישות אתרים, טיפוגרפיה, עיצוב ממשק, חיפוש דירה, תכנון חתונה, לוח שנה עברי
communication	SMS, וואטסאפ עסקי, מייל, קורות חיים, חיפוש עבודה, שירות לקוחות, השוואת חבילות סלולר, טלגרם
marketing-growth	שיווק, פרסום ממומן, SEO, רשתות חברתיות, מו"מ על שכר, השקת מוצר, סקרים
security-compliance	מקלט קרוב, פיקוד העורף, נהלי חירום, פרטיות ואבטחת מידע, רגולציה, תקנים, ציות
developer-tools	קוד ופיתוח, אימות ת.ז., מספרי טלפון, תאריך עברי, יד2, השוואת מחירים, משלוחים, אוטומציות
courses	קורסים ומדריכים מודרכים - פנסיה, מילואים, עלייה, שנת פרילנס ראשונה
